trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
93,False,"{'a': 0.02, 'e': 0.15881742610692068}",20,0,30.981072145581297,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
94,False,"{'a': 0.02, 'e': 0.1556726303679973}",20,9,10.115323916709402,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.02, 'e': 0.15259010575688386}",20,0,-17.925265560987665,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
96,False,"{'a': 0.02, 'e': 0.14956861922263504}",20,15,4.646814189105728,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.02, 'e': 0.14660696213035015}",20,0,-0.40038117517308147,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
98,False,"{'a': 0.02, 'e': 0.14370394977770293}",25,20,8.874417931718298,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.02, 'e': 0.140858420921045}",25,0,-92.0495960014712,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 3}",0
100,False,"{'a': 0.02, 'e': 0.13806923731089282}",30,17,2.5580201361572916,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
101,False,"{'a': 0.02, 'e': 0.1353352832366127}",20,13,-32.56721214747564,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
102,False,"{'a': 0.02, 'e': 0.13265546508012172}",25,20,9.10682473928164,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.02, 'e': 0.1300287108784259}",20,10,17.63308633673347,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.02, 'e': 0.12745396989482075}",30,20,15.186004257075462,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.02, 'e': 0.12493021219858241}",25,4,2.9386675888834475,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 0}",1
106,False,"{'a': 0.02, 'e': 0.1224564282529819}",20,10,21.030617196557273,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.02, 'e': 0.12003162851145673}",20,11,12.176193087941218,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.02, 'e': 0.11765484302177918}",25,1,-1.3822983920939766,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
109,False,"{'a': 0.02, 'e': 0.11532512103806251}",25,19,2.1536931842981026,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.02, 'e': 0.11304153064044985}",30,3,-30.107341152403297,"{0: 24, 1: 1, 2: 0, 3: 1, 4: 1}",1
111,False,"{'a': 0.02, 'e': 0.11080315836233387}",30,19,-3.567837518149914,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
112,False,"{'a': 0.02, 'e': 0.10860910882495796}",30,13,28.605689920318593,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.02, 'e': 0.1064585043792528}",20,8,22.741456229576198,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.02, 'e': 0.104350484754765}",30,12,32.302400990016864,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.02, 'e': 0.10228420671553744}",20,0,13.018922858462378,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
116,False,"{'a': 0.02, 'e': 0.1002588437228037}",20,15,3.733646139093739,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.02, 'e': 0.09827358560436154}",20,8,18.7864677074305,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.02, 'e': 0.09632763823049303}",20,0,25.782658986653527,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
119,False,"{'a': 0.02, 'e': 0.09442022319630235}",30,9,15.996052656237492,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
