trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
202,False,"{'a': 0.02, 'e': 0.01795296493950285}",25,9,27.315748798987304,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.02, 'e': 0.017597472415623393}",20,8,24.02753222925009,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.02, 'e': 0.017249019115346265}",35,13,-4.937101072771014,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
205,False,"{'a': 0.02, 'e': 0.01690746565270528}",20,8,22.781371013867037,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.02, 'e': 0.016572675401761255}",25,16,14.470931339823935,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.02, 'e': 0.01624451444194987}",35,24,7.736306576636594,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
208,False,"{'a': 0.02, 'e': 0.015922851504511698}",20,10,20.25771236248307,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.02, 'e': 0.01560755791998283}",20,8,17.945222929115086,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.02, 'e': 0.015298507566725518}",35,25,20.228684591184777,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.02, 'e': 0.014995576820477703}",30,22,13.819803282378743,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.02, 'e': 0.014698644504901784}",20,12,18.4798712496009,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.02, 'e': 0.01440759184311235}",25,0,34.667684454185924,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
214,False,"{'a': 0.02, 'e': 0.014122302410163962}",25,3,33.80627571214852,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.02, 'e': 0.013842662086479501}",20,6,22.183216000449775,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.02, 'e': 0.013568559012200934}",20,3,25.625086928747756,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.02, 'e': 0.013299883542443767}",20,6,23.278911577580597,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.02, 'e': 0.013036528203437736}",30,19,19.160575064352695,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.02, 'e': 0.01277838764953576}",20,13,12.775633833644443,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.02, 'e': 0.012525358621074385}",20,5,28.61880271766584,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.02, 'e': 0.012277339903068436}",25,15,17.83167935530995,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.02, 'e': 0.012034232284723775}",25,17,6.556331629329938,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
223,False,"{'a': 0.02, 'e': 0.011795938519751562}",30,9,36.149877441840275,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.02, 'e': 0.011562363287468536}",25,5,33.468257967827476,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.02, 'e': 0.011333413154667387}",25,11,25.924533381197534,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.02, 'e': 0.011108996538242306}",25,14,-27.069613280032677,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
227,False,"{'a': 0.02, 'e': 0.01088902366855444}",25,15,6.063165668090914,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
228,False,"{'a': 0.02, 'e': 0.010673406553522925}",30,16,27.356391962834316,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.02, 'e': 0.010462058943426795}",20,6,25.340183101040715,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.02, 'e': 0.010254896296404022}",25,8,21.128521942614057,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.02, 'e': 0.010051835744633576}",20,4,20.98143016365884,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
